name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Toronto, ON, Canada",2022-11-08T00:00:00,5.4,2.6,-0.3,66.82,0,0,,0,0,31.3,13.3,252,1035.2,0.9,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-11-08T01:00:00,4.8,1.6,0.1,71.62,0,0,,0,0,29.5,14.7,290,1035.9,10,16.2,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-11-08T02:00:00,5.3,3.1,0.2,69.53,0,0,,0,0,21.2,9.7,252,1036.5,0.9,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-11-08T03:00:00,5,1.8,0.2,70.9,0,0,,0,0,35.3,14.8,300,1036.7,0.9,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-11-08T04:00:00,4.8,2.5,0.2,72.15,0,0,,0,0,23,9.6,320,1037,10,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-11-08T05:00:00,4.8,2.1,0.2,72.42,0,0,,0,0,17.6,11.3,320,1038.1,0.9,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-11-08T06:00:00,4.9,1.9,0.7,74.51,0,0,,0,0,22.3,13.1,321,1038.7,0.9,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-11-08T07:00:00,5.5,2.4,0.3,69.07,0,0,,0,1,25.6,14.8,350,1039.3,10,16.2,4,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,E5954,CXTO,71265099999"
"Toronto, ON, Canada",2022-11-08T08:00:00,4.9,0.9,0.3,72.11,0,0,,0,0,30.2,20.6,58,1040,0.9,14.3,14,0.1,0,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-11-08T09:00:00,5.8,1.8,-0.8,62.85,0,0,,0,0,27.4,22.3,20,1040.4,0.9,14.3,34,0.1,0,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-11-08T10:00:00,6.3,3.3,-1.5,57.38,0,0,,0,0,23,15.1,351,1041.3,0,16.2,31,0.1,0,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-11-08T11:00:00,7.4,4.7,-3.9,44.76,0,0,,0,0,31.3,15,10,1041.6,0,14.3,207,0.7,2,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-11-08T12:00:00,8.4,7.1,-5.6,36.85,0,0,,0,0,20.2,8,33,1041.2,0,14.3,39,0.1,0,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-11-08T13:00:00,9.6,7.2,-4.8,35.94,0,0,,0,0,22.3,16.5,87,1040.6,0,16.2,56,0.2,1,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-11-08T14:00:00,7.6,4.6,-3.1,46.48,0,0,,0,0,20.9,18,87,1040.3,0.9,14.3,36,0.1,0,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-11-08T15:00:00,8.1,5.2,-2.3,47.75,0,0,,0,0,20.9,18.3,101,1040.3,0.9,14.3,22,0.1,0,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-11-08T16:00:00,7.3,4.4,-0.8,56.5,0,0,,0,0,15.8,16.5,92,1040.3,0,16.2,21,0.1,0,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-11-08T17:00:00,6.4,2.8,-0.5,61.2,0,0,,0,0,15.5,20.2,63,1040.3,0.9,14.3,9,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-11-08T18:00:00,6.3,4.4,-0.7,61.05,0,0,,0,0,15.5,9.3,111,1040.2,0.9,14.3,6,0,0,10,Clear,clear-night,"E6457,71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-11-08T19:00:00,6.2,3.3,-0.5,62.42,0,0,,0,0,21.2,14.5,91,1040.2,10,16.2,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
