name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Toronto, ON, Canada",2020-05-21T00:00:00,14.2,14.2,-0.2,37.25,0,0,,0,0,,25.2,60,1025.8,0,14.3,0,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-05-21T01:00:00,12.9,12.9,0.9,44.06,0,0,,0,0,,16.2,69,1026.2,0,14.3,0,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-05-21T02:00:00,11.7,11.7,2.3,52.28,0,0,,0,0,,3.3,79,1026.2,9.5,16.2,0,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-05-21T03:00:00,11.1,11.1,1.9,53.29,0,0,,0,0,,9.1,90,1026.1,0,14.3,0,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-05-21T04:00:00,12.5,12.5,0.3,43.25,0,0,,0,0,,10.9,82,1026,0,14.3,0,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-05-21T05:00:00,11.3,11.3,-0.5,44.09,0,0,,0,0,,2.8,82,1025.9,9.9,16.2,0.1,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-05-21T06:00:00,10.6,10.6,0.9,51.2,0,0,,0,0,,15.9,70,1026,0.9,14.3,8,0,0,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-05-21T07:00:00,11.8,11.8,-0.1,44.13,0,0,,0,0,,14.4,80,1026.4,0.9,14.3,22,0.1,0,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-05-21T08:00:00,13,13,0.8,43.5,0,0,,0,0,,5.5,71,1026.7,0,16.2,44,0.2,0,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-05-21T09:00:00,14.9,14.9,-2.2,30.75,0,0,,0,0,,16.3,81,1026.9,0.9,14.3,416,1.5,4,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-05-21T10:00:00,15.1,15.1,-3.9,26.63,0,0,,0,0,,12.6,80,1026.9,0.9,14.3,692,2.5,7,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
