name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Toronto, ON, Canada",2020-02-29T00:00:00,-7.5,-14.8,-11.6,72.72,0,0,,0,0,40.7,20.7,310,1010,96.2,13.9,0,0,0,,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-02-29T01:00:00,-9.2,-9.2,-13.7,69.88,0.007,100,snow,0,0,,4.6,331,1010.4,100,16.2,0,0,0,,"Snow, Overcast",snow,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-02-29T02:00:00,-10.1,-17.6,-14.6,69.47,0,0,,0,0,48.2,18.3,322,1011,95.8,14.3,0,0,0,,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-02-29T03:00:00,-10.3,-16.5,-15.3,66.81,0,0,,0,0,46.1,13,340,1011.4,95.9,14.3,0,0,0,,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-02-29T04:00:00,-10.8,-10.8,-16,65.39,0,0,,0,0,37.1,4.6,301,1011.7,88.8,16.2,0,0,0,,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-02-29T05:00:00,-11.5,-18.5,-16.3,67.91,0,0,,0,0,33.5,14.8,320,1012.6,0.9,14.3,0,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-02-29T06:00:00,-12.3,-18.4,-16.5,70.7,0,0,,0,0,32.4,11.3,320,1013.4,1.5,14.3,0.5,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-02-29T07:00:00,-12.6,-12.6,-17.4,67.19,0.038,100,snow,0,0,,3.4,341,1014.2,30,16.2,6,0,0,,"Snow, Partially cloudy",snow,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-02-29T08:00:00,-12,-17.5,-16.9,67.05,0,0,,0,0,36.2,9.7,323,1014.8,30,14.3,19,0.1,0,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-02-29T09:00:00,-11.8,-17.9,-17.4,63.42,0,0,,0,0,33.5,11.5,323,1015.3,30.6,14.3,58,0.2,1,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-02-29T10:00:00,-10.6,-10.6,-16.9,60.05,0,0,,0,0,,4.4,301,1015.8,30,16.2,134,0.5,1,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-02-29T11:00:00,-8.7,-11.8,-16.2,54.57,0,0,,0,0,37.1,5.6,176,1016.2,0.9,14.3,201,0.7,2,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-02-29T12:00:00,-6.8,-13.6,-15.1,51.55,0,0,,0,0,42.5,19.1,262,1016.2,50,14.3,405,1.5,4,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
