name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Toronto, ON, Canada",2020-04-10T00:00:00,3.1,-2.5,-2.9,64.56,0,0,,0,0,57.4,31.8,270,996.2,50,14.3,0,0,0,,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-10T01:00:00,3.1,-1.8,-2.2,67.9,0,0,,0,0,60.3,24.7,280,996.3,69.5,14.3,0,0,0,,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-10T02:00:00,2.9,0.8,-2.6,66.95,0,0,,0,0,59.4,7.5,290,996.4,90,16.2,0,0,0,,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-10T03:00:00,2.1,-3.8,-4,63.7,0,0,,0,0,59.2,31.9,281,996.3,0,14.3,0,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-10T04:00:00,2,-3.8,-4.5,62.03,0,0,,0,0,58.3,29.8,290,996.4,50,14.3,0,0,0,,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-10T05:00:00,1.8,-0.9,-4.6,62.16,0,0,,0,0,,9.2,291,997,88.5,16.2,0,0,0,,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-10T06:00:00,2,-4,-3.9,64.85,0,0,,0,0,63,32,291,997.4,93,14.3,0.7,0,0,,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-10T07:00:00,2.1,-3.1,-3.9,64.33,0,0,,0,0,59,24.6,291,998.5,86,14.3,13,0,0,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-10T08:00:00,1.6,-1.4,-3.6,67.88,0,0,,0,0,63,10.4,291,999.8,99.4,16.2,36,0.1,0,,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-10T09:00:00,1.9,-4.5,-3.1,69.44,0,0,,0,0,63.9,35.6,300,1000.8,50,14.3,71,0.3,1,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-10T10:00:00,3.5,-2.3,-3.5,60,0,0,,0,0,61.2,35.6,300,1001.6,86.1,14.3,258,0.9,3,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-10T11:00:00,4.4,1.8,-4.5,52.49,0,0,,0,0,57.6,10.9,301,1002.8,50.3,16.2,475,1.7,5,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-10T12:00:00,6,1,-5.1,44.91,0,0,,0,0,55.4,35.3,300,1003.4,30.6,14.3,570,2.1,6,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-10T13:00:00,7.3,2.9,-4.1,44.34,0,0,,0,0,53.6,32.1,291,1003.9,50,14.3,861,3.1,9,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-10T14:00:00,7.2,5.7,-5.7,39.46,0,0,,0,0,,8.1,309,1004.5,99.7,16.2,368,1.3,4,,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-10T15:00:00,7.2,2.4,-4.9,42.12,0,0,,0,0,55.4,37.2,271,1005,33.1,14.3,271,1,3,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-10T16:00:00,6.3,1.3,-4.9,44.56,0,0,,0,0,51.8,35.4,300,1005.8,50,14.3,212,0.8,2,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-10T17:00:00,6.6,4.5,-5.7,41.08,0,0,,0,0,,10.9,290,1006.5,98.5,16.2,246,0.9,2,,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-10T18:00:00,6.2,0.8,-6.7,39.23,0,0,,0,0,57.2,40.5,280,1007.3,30.6,14.3,74,0.3,1,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-10T19:00:00,5.1,-0.3,-7.1,41.01,0.195,100,rain,0,0,51.8,37.3,281,1008.4,30.6,14.3,38,0.1,0,,"Rain, Partially cloudy",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-10T20:00:00,4.2,2,-7.9,40.97,0,0,,0,0,,8.6,290,1009.5,29.4,16.2,9,0,0,,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-10T21:00:00,3.3,-1.8,-8.5,41.74,0,0,,0,0,50,26.1,290,1010.1,0,14.3,0,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-10T22:00:00,3,-1.3,-8.5,42.68,0,0,,0,0,48.2,18.7,280,1010.9,0,14.3,0,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-10T23:00:00,2.4,0.4,-8.4,44.69,0,0,,0,0,,6.9,289,1011,0.5,16.2,0,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-11T00:00:00,2,-2.5,-8.1,47.26,0,0,,0,0,48.2,18.7,290,1011.3,0,14.3,0,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-11T01:00:00,1.7,-3.4,-7.1,52.11,0,0,,0,0,48.2,22.4,290,1011.6,0,14.3,0,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-11T02:00:00,1.3,-0.9,-6.2,57.73,0,0,,0,0,,6.8,290,1011.6,61.2,16.2,0,0,0,,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-11T03:00:00,0.9,-3.9,-5.8,61.05,0,0,,0,0,48.2,18.4,290,1012,0,14.3,0,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-11T04:00:00,0.8,-2.8,-5.8,61.59,0,0,,0,0,46.1,11.6,300,1012.1,30,14.3,0,0,0,,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-11T05:00:00,0.9,-0.8,-6,59.92,0,0,,0,0,,5.6,300,1012.1,89.7,16.2,0,0,0,,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-11T06:00:00,0.3,-4,-6.2,61.69,0,0,,0,0,37.1,14.8,290,1012.3,0.9,14.3,1.9,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-11T07:00:00,0.1,-4.6,-5.9,64.09,0,0,,0,0,31.5,16.6,270,1013.1,0.9,14.3,11,0,0,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-11T08:00:00,1.2,-0.8,-5.5,61.2,0,0,,0,0,,6.3,270,1013.7,50,16.2,43,0.2,0,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-11T09:00:00,2.6,-2.5,-5.5,55.13,0,0,,0,0,37.1,24.4,290,1014.3,25.8,14.3,127,0.5,1,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-11T10:00:00,4.9,-0.4,-5.7,46.41,0,0,,0,0,40.7,33.4,280,1014.3,50,14.3,426,1.5,4,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-04-11T11:00:00,5.3,3.6,-6.5,42.51,0,0,,0,0,,7.4,280,1014.8,89.7,16.2,513,1.8,5,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
