name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Toronto, ON, Canada",2023-11-01T00:00:00,2.1,-2.6,-3.3,67.62,0,0,,0,0,11.2,20.3,317,1016.2,50,14.3,0,0,0,10,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-11-01T01:00:00,2,-1.9,-3,69.57,0,0,,0,0,14.8,14.7,289,1016.2,0,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-11-01T02:00:00,1.5,-3.1,-2.7,73.73,0,0,,0,0,24.1,18,300,1016.4,30,16.2,0,0,0,10,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-11-01T03:00:00,0.9,-2.5,-2.7,76.99,0,0,,0,0,31.3,11.1,317,1016.6,0.9,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-11-01T04:00:00,0.6,-4,-2.8,78.05,0,0,,0,0,37.1,16.4,290,1016.9,0.9,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-11-01T05:00:00,0.5,-3,-2.7,78.99,0,0,,0,0,31.3,11.2,300,1017.2,55,16.2,0,0,0,10,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-11-01T06:00:00,0.4,-3.9,-3.1,77.26,0,0,,0,0,35.3,14.9,320,1017.9,0.9,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-11-01T07:00:00,0,-4.4,-4.2,72.95,0,0,,0,0,37.1,15.1,311,1018.8,0.9,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-11-01T08:00:00,0,-5.5,-4.1,73.62,0,0,,0,1,35.3,22.4,330,1019.3,10,16.2,0,0,0,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-11-01T09:00:00,0.7,-2.9,-4.4,68.94,0,0,,0,0,38.9,11.8,311,1020.7,0.9,14.3,25,0.1,0,10,Clear,clear-day,"71624099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-11-01T10:00:00,1.6,-3.3,-4.1,66.02,0,0,,0,0,38.9,20.9,320,1021.8,0.9,14.3,35,0.1,0,10,Clear,clear-day,"71624099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-11-01T11:00:00,2,-3.6,-4.1,64.01,0,0,,0,0,38.9,27.6,330,1022.6,0.3,14.3,30,0.1,0,10,Clear,clear-day,"71624099999,71432099999,CWWZ,F0888,CXTO,71265099999"
