name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Toronto, ON, Canada",2022-05-28T00:00:00,17.1,17.1,14.7,85.59,0,0,,0,0,12.6,12.2,305,1006.3,100,24,0,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO"
"Toronto, ON, Canada",2022-05-28T01:00:00,16.7,16.7,13.9,83.25,0,0,,0,0,24.8,9.2,280,1006.4,92,14.3,0,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-05-28T02:00:00,16.3,16.3,13.9,85.63,0,0,,0,0,26.3,23.7,330,1006.1,100,16.2,0,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-05-28T03:00:00,15.8,15.8,12.9,82.93,0,0,,0,0,30.6,23.9,329,1006.1,100,14.3,0,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-05-28T04:00:00,14.8,14.8,12.7,87.3,0,0,,0,0,33.8,23.6,330,1006.3,100,14.3,0,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-05-28T05:00:00,14.7,14.7,12.7,87.37,0,0,,0,0,20.9,18.4,330,1006.5,99.4,16.2,0,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-05-28T06:00:00,13.9,13.9,12.2,89.61,0.195,100,rain,0,0,5.8,20.3,330,1007.3,0.9,14.3,7,0,0,10,Rain,rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-05-28T07:00:00,14.1,14.1,12.3,88.78,0.001,100,rain,0,0,19.4,14.7,349,1008,50,14.3,34,0.1,0,10,"Rain, Partially cloudy",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-05-28T08:00:00,14.3,14.3,12.3,88.08,0.044,100,rain,0,0,16.2,22.2,340,1009.2,100,16.2,89,0.3,1,10,"Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-05-28T09:00:00,14.5,14.5,11.9,84.29,0.001,100,rain,0,0,22.7,27.4,321,1010,100,14.3,122,0.4,1,10,"Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-05-28T10:00:00,15.6,15.6,11.4,75.68,0,0,,0,0,25.6,17,342,1010.5,5,24,334,1.2,3,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO"
"Toronto, ON, Canada",2022-05-28T11:00:00,18.8,18.8,11,60.6,0,0,,0,0,25.6,18.3,27,1010.4,50,16.2,754,2.7,8,10,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-05-28T12:00:00,19.9,19.9,9.4,50.74,0,0,,0,0,21.2,14.9,320,1011,24,14.3,844,3,8,10,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-05-28T13:00:00,20.2,20.2,9,48.72,0,0,,0,0,14.8,9.7,310,1011.1,50,14.3,321,1.2,3,10,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-05-28T14:00:00,20.3,20.3,8.1,45.34,0,0,,0,0,13.3,9.2,329,1011.1,99.4,16.2,484,1.7,5,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
