name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Toronto, ON, Canada",2022-01-25T00:00:00,-4.7,-11.8,-6.8,85.11,0,0,,0,0,35.3,24,289,1006.6,99,14.3,0,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-01-25T01:00:00,-5.1,-9.1,-8.2,78.89,0.117,100,snow,0,21,27.7,9,299,1007.1,99.4,16.2,0,0,0,10,"Snow, Overcast",snow,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-01-25T02:00:00,-6.4,-14,-9.4,79.31,0,0,,0,0,40.7,24.1,299,1007.7,77,14.3,0,0,0,10,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-01-25T03:00:00,-6.9,-13.6,-10.2,77.24,0,0,,0,0,40.7,18.4,318,1008.7,21,14.3,0,0,0,10,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-01-25T04:00:00,-7.7,-11,-10.8,78,0,0,,0,0,35.6,6.3,309,1009.6,50.9,16.2,0,0,0,10,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-01-25T05:00:00,-7.5,-14.8,-11.9,71.01,0,0,,0,0,40.7,20.7,319,1010.4,3,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-01-25T06:00:00,-7.7,-14.6,-12.3,69.59,0,0,,0,0,42.5,18.6,319,1011.7,1,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-01-25T07:00:00,-8.5,-12.5,-13.2,68.99,0,0,,0,23.95,40,7.4,310,1013.5,49.7,16.2,0,0,0,10,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-01-25T08:00:00,-8.7,-15.5,-13.8,66.3,0,0,,0,0,46.1,16.8,319,1014.5,30,14.3,7,0,0,10,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-01-25T09:00:00,-8.5,-16.7,-13.8,65.45,0,0,,0,0,42.5,24.1,310,1015.7,30.6,14.3,15,0.1,0,10,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-01-25T10:00:00,-7.9,-12,-14.6,58.36,0,0,,0,0,31.3,7.9,319,1016.9,10,16.2,37,0.1,0,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-01-25T11:00:00,-6.8,-15.6,-14.8,53.02,0,0,,0,0,38.9,31.7,310,1017.9,0.9,14.3,84,0.3,1,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-01-25T12:00:00,-6.6,-14.5,-15.6,48.86,0,0,,0,0,35.3,25.9,300,1018.8,0.9,14.3,48,0.2,0,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-01-25T13:00:00,-6.2,-10.4,-16.9,42.57,0,0,,0,0,42.5,9,290,1018.7,10,16.2,39,0.1,0,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-01-25T14:00:00,-5.9,-14,-16.2,43.85,0,0,,0,0,42.5,29.4,271,1018.8,0.9,14.3,39,0.1,0,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-01-25T15:00:00,-6.7,-14.8,-17,43.91,0,0,,0,0,41.6,27.3,280,1019.7,0.9,14.3,36,0.1,0,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-01-25T16:00:00,-7.2,-10.7,-17.1,45.18,0,0,,0,0,40.7,6.9,299,1020.7,55,16.2,62,0.2,1,10,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-01-25T17:00:00,-8.3,-14.6,-15.1,57.77,0,0,,0,0,38.9,15.2,328,1021.9,0.9,14.3,13,0,0,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-01-25T18:00:00,-9.1,-14.7,-15.5,59.69,0,0,,0,0,38.9,11.7,319,1022.9,0.9,14.3,5,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,AV116,CXTO,71265099999"
"Toronto, ON, Canada",2022-01-25T19:00:00,-9.6,-12.5,-16.7,56.28,0,0,,0,0,23.8,5.1,319,1023.8,30,16.2,0,0,0,10,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-01-25T20:00:00,-10.3,-17.4,-17.6,54.89,0,0,,0,0,37.1,16.6,320,1024.8,50,14.3,0,0,0,10,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
