name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Toronto, ON, Canada",2020-07-01T00:00:00,21.7,21.7,16,70.15,0,0,,0,0,,9.2,91,1015.4,30,14.3,0,0,0,,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-01T01:00:00,20.7,20.7,15.9,73.99,0,0,,0,0,,7.4,78,1015.1,0,14.3,0,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-01T02:00:00,21,21,16.1,73.63,0,0,,0,0,,1.6,87,1014.9,0.9,16.2,0,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-01T03:00:00,20,20,16.1,78.34,0,0,,0,0,,7.3,70,1014.8,0,14.3,0,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-01T04:00:00,20,20,15.7,76.2,0,0,,0,0,,0,90,1014.6,0,14.3,0,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-01T05:00:00,19.7,19.7,15.7,77.97,0,0,,0,0,,0.6,55,1014.6,0.4,16.2,2.1,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-01T06:00:00,19.4,19.4,15.7,79.25,0,0,,0,0,,0.4,298,1015,0,14.3,7,0,0,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-01T07:00:00,21.4,21.4,16.1,72.02,0,0,,0,0,,3.9,205,1015.4,0,14.3,17,0.1,0,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-01T08:00:00,22.8,22.8,16.3,66.82,0,0,,0,0,,1.1,233,1015.7,10,16.2,41,0.1,0,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-01T09:00:00,24.9,24.9,15.7,56.8,0,0,,0,0,,7.5,76,1015.8,0,14.3,231,0.8,2,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-01T10:00:00,24.8,24.8,15.3,55.67,0,0,,0,0,,9.2,97,1016,0.9,14.3,644,2.3,6,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-01T11:00:00,25.3,25.3,15.5,54.51,0,0,,0,0,,2.9,129,1015.8,40,16.2,787,2.8,8,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-01T12:00:00,25.4,25.4,14.9,52.2,0,0,,0,0,,9.4,159,1015.6,1.5,14.3,898,3.2,9,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-01T13:00:00,26.7,27.3,16.3,52.76,0,0,,0,0,,9.3,187,1015.2,0,14.3,946,3.4,9,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-01T14:00:00,25.8,25.8,15.7,53.7,0,0,,0,0,,2.4,240,1014.8,30.6,16.2,935,3.4,9,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-01T15:00:00,27.5,27.9,16,49.4,0,0,,0,0,,7.9,206,1014.5,1.5,14.3,800,2.9,8,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-01T16:00:00,26.9,27.2,15.1,48.44,0,0,,0,0,,7.8,216,1013.8,0.9,14.3,579,2.1,6,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-01T17:00:00,27.4,27.8,15.8,49.17,0.195,100,rain,0,0,,3.4,235,1013.4,30,16.2,57,0.2,1,,"Rain, Partially cloudy",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-01T18:00:00,27,27,13.1,42.36,0.24,100,rain,0,0,,7.7,249,1012.9,1.5,14.3,44,0.2,0,,Rain,rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-01T19:00:00,27.3,27.2,12.9,40.91,0.195,100,rain,0,0,,5.6,238,1012.6,49.4,14.3,31,0.1,0,,"Rain, Partially cloudy",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-01T20:00:00,27.4,27.2,13,41.17,0,0,,0,0,,1.8,272,1012.9,87.5,16.2,28,0.1,0,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-01T21:00:00,27.7,27.3,11.9,37.46,0,0,,0,0,,7.7,293,1013.1,0.9,14.3,13,0,0,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-01T22:00:00,26.9,26.8,11.9,39.19,0,0,,0,0,,12.8,358,1013.7,0,14.3,0,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-01T23:00:00,26,26,12.4,42.89,0,0,,0,0,,2.9,320,1013.5,44.8,16.2,0,0,0,,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-02T00:00:00,25.2,25.2,12.9,46.43,0,0,,0,0,,9.5,339,1013.4,0,14.3,0,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-02T01:00:00,24.7,24.7,13.5,49.98,0,0,,0,0,,12.9,329,1013.2,0,14.3,0,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-02T02:00:00,24.1,24.1,14.4,54.75,0,0,,0,0,,4,330,1013.3,17.5,16.2,0,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-02T03:00:00,24.3,24.3,14.5,54.36,0,0,,0,0,,13.1,340,1013.6,0,14.3,0,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-02T04:00:00,24.3,24.3,13.8,51.74,0,0,,0,0,,16.5,330,1013.5,0,14.3,0,0,0,,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-02T05:00:00,23.9,23.9,13.7,52.7,0,0,,0,0,,2.4,339,1013.3,82.9,16.2,2.1,0,0,,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-02T06:00:00,23.6,23.6,13.5,53.29,0,0,,0,0,,11.3,330,1013.5,0.9,14.3,8,0,0,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-02T07:00:00,24.1,24.1,13.3,50.97,0,0,,0,0,,13,330,1013.7,0.9,14.3,24,0.1,0,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-02T08:00:00,26,26,12.7,43.85,0,0,,0,0,,4,339,1013.9,10,16.2,53,0.2,1,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-02T09:00:00,28.5,27.6,10.6,32.95,0,0,,0,0,,18.3,320,1014.1,0.9,14.3,230,0.8,2,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-02T10:00:00,29.8,28.9,12.7,35.15,0,0,,0,0,,16.4,329,1013.8,0.9,14.3,609,2.2,6,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-02T11:00:00,31.2,30.3,13.1,33.12,0,0,,0,0,,5,290,1013.7,0.5,16.2,762,2.7,8,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-02T12:00:00,32.4,31.3,12.7,30.24,0,0,,0,0,,15,185,1013.3,0.9,14.3,875,3.2,9,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-02T13:00:00,32.5,31.2,11.9,28.33,0,0,,0,0,,16.6,204,1013.1,30,14.3,768,2.8,8,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-02T14:00:00,33.1,31.7,11.8,27.32,0,0,,0,0,,1.8,194,1012.7,50,16.2,384,1.4,4,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-02T15:00:00,33.7,32.7,13.1,28.76,0.195,100,rain,0,0,,7.9,162,1012.4,50,14.3,257,0.9,3,,"Rain, Partially cloudy",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-02T16:00:00,34.7,33.5,12.2,25.65,0,0,,0,0,,7.9,330,1012.2,50,14.3,274,1,3,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-02T17:00:00,34.7,33.3,11.6,24.62,0,0,,0,0,,4.5,339,1012.1,40,16.2,109,0.4,1,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-02T18:00:00,33.9,32.4,11,24.79,0.24,100,rain,0,0,,18.3,359,1012,1.5,14.3,93,0.3,1,,Rain,rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-02T19:00:00,32.6,31.3,11.7,27.94,0,0,,0,0,,16.9,340,1012.2,1.5,14.3,43,0.2,0,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2020-07-02T20:00:00,31.2,30.2,13,33.03,0,0,,0,0,,4.1,349,1012.3,30,16.2,25,0.1,0,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
