name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Toronto, ON, Canada",2023-07-03T00:00:00,21,21,17.5,80.38,0,0,,0,0,9.4,14.3,70,1009.7,100,14.3,1,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-07-03T01:00:00,20.8,20.8,18,84.04,0,0,,0,0,7.6,7.5,90,1009.6,100,14.2,1,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-07-03T02:00:00,21.3,21.3,17.6,79.37,0,0,,0,0,9.4,7.4,91,1009.7,99.7,16,1,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-07-03T03:00:00,21.1,21.1,17.1,77.91,0.001,100,rain,0,0,9.4,7.5,80,1009.5,100,14.2,0,0,0,10,"Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-07-03T04:00:00,20.9,20.9,17.7,81.93,0,0,,0,0,11.2,16.2,60,1009.6,100,14.1,0,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-07-03T05:00:00,20.7,20.7,17.9,84.13,0.038,100,rain,0,0,11.2,7.5,89,1009.5,99.7,9.3,0,0,0,10,"Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-07-03T06:00:00,20.6,20.6,18.9,90.1,0,0,,0,0,11.2,16.2,70,1009.8,100,14.1,9,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,F3871,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-07-03T07:00:00,19.9,19.9,17.9,88.31,0.791,100,rain,0,0,13,12.7,80,1010.1,100,6.3,10,0,0,10,"Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-07-03T08:00:00,20.2,20.2,18.9,92.36,0.453,100,rain,0,0,14.8,12.7,70,1010.5,100,6.3,22,0.1,0,10,"Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-07-03T09:00:00,20.9,20.9,19.5,91.74,0.339,100,rain,0,0,16.6,9.3,90,1010.9,100,10.2,95,0.3,1,10,"Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-07-03T10:00:00,21.3,21.3,19.2,87.96,0.003,100,rain,0,0,18.4,18.2,71,1011.2,100,14.3,86,0.3,1,10,"Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-07-03T11:00:00,21.3,21.3,17.9,81.11,0.001,100,rain,0,0,20.5,14.6,72,1011.5,99.7,16.2,88,0.3,1,10,"Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-07-03T12:00:00,21.7,21.7,17.7,77.96,0,0,,0,0,20.5,16.3,73,1011.8,97,14.3,192,0.7,2,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-07-03T13:00:00,22.4,22.4,18.1,76.75,0,0,,0,0,14.8,12.9,80,1011.6,30,14.3,451,1.6,5,10,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-07-03T14:00:00,23.8,23.8,17.1,66.05,0,0,,0,0,14.8,13,71,1011.5,92,16.2,818,2.9,8,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-07-03T15:00:00,23.4,23.4,16,63.15,0,0,,0,0,14.8,18.2,72,1011.6,1.5,14.3,474,1.7,5,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-07-03T16:00:00,24,24,17.2,65.94,0,0,,0,0,14.8,16.4,72,1011.4,0.9,14.3,131,0.5,1,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-07-03T17:00:00,24.6,24.6,17.1,63.01,0,0,,0,0,13,14.6,71,1011.3,30,16.2,60,0.2,1,10,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
