name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Toronto, ON, Canada",2021-09-24T00:00:00,14.6,14.6,10.9,78.42,0,0,,0,0,37.1,29,170,1009.5,52.8,14.1,0,0,0,,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2021-09-24T01:00:00,14,14,12.4,90.11,0.755,100,rain,0,0,35.3,39.9,189,1009.1,73.1,14.3,0,0,0,,"Rain, Partially cloudy",rain,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2021-09-24T02:00:00,13.7,13.7,12.4,92.31,0.368,100,rain,0,0,33.5,8.8,209,1009.4,99.7,16.2,0,0,0,,"Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2021-09-24T03:00:00,14.1,14.1,10.5,79.03,0.355,100,rain,0,0,31.3,36.2,230,1009.3,50.1,14.3,0,0,0,,"Rain, Partially cloudy",rain,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2021-09-24T04:00:00,13.1,13.1,9.5,78.89,0.002,100,rain,0,0,,30.9,229,1009.6,26.4,14.3,0,0,0,,"Rain, Partially cloudy",rain,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2021-09-24T05:00:00,12.8,12.8,9.7,81.23,0.001,100,rain,0,0,29.5,8.3,219,1009.9,97.2,16.2,0,0,0,,"Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2021-09-24T06:00:00,12.8,12.8,9.2,78.84,0,0,,0,0,,25.5,238,1010.7,23.3,14.3,0,0,0,,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2021-09-24T07:00:00,11.8,11.8,9.1,83.39,0,0,,0,0,,21.9,239,1011.1,22.7,14.3,2,0,0,,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,F9020,CXTO,71265099999"
"Toronto, ON, Canada",2021-09-24T08:00:00,12.6,12.6,9.4,80.61,0,0,,0,0,,7.8,240,1011.8,100,16.2,15,0.1,0,,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2021-09-24T09:00:00,13.1,13.1,9.5,78.83,0,0,,0,0,,25.4,229,1012,3.6,14.3,61,0.2,1,,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
