name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Toronto, ON, Canada",2022-03-07T00:00:00,4.3,-0.1,-0.9,68.95,0,0,,0,0,33.5,22.3,288,1015.6,100,14.3,0,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-07T01:00:00,4.1,1.9,-1.1,68.56,0,0,,0,0,33.5,8.9,299,1014.6,100,16.2,0,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-07T02:00:00,3.9,-0.6,-1.5,67.9,0,0,,0,0,26.3,21.8,298,1014.7,100,14.3,0,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-07T03:00:00,3.6,0.1,-1.1,71.69,0,0,,0,0,20.5,14.5,279,1014,100,14.3,0,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-07T04:00:00,3.1,3.1,-1.1,74.26,0,0,,0,0,11.2,3.4,249,1014.2,99.7,16.2,0,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-07T05:00:00,3.3,-0.2,-1.2,72.27,0,0,,0,0,6.8,14.4,315,1012.5,97,14.3,0,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-07T06:00:00,3.1,1.8,-1.4,72.3,0,0,,0,0,20.2,5.5,90,1011.9,100,14.3,0,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-07T07:00:00,2.7,1.3,0,82.26,0.359,100,rain,0,1,24.1,5.5,60,1010.4,100,15.8,0,0,0,10,"Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-07T08:00:00,1.5,-4.8,-0.5,86.6,0.756,100,"rain,snow",0,0,31.3,32.6,51,1009.4,100,13.9,15,0.1,0,10,"Snow, Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-07T09:00:00,1.1,-5.2,-0.5,88.81,0.357,100,"rain,snow",0,0,32.4,32.6,50,1007.8,100,13.9,33,0.1,0,10,"Snow, Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-07T10:00:00,1.3,-1.9,0,91.25,0.174,100,"rain,snow",0,0,34.9,10.6,71,1004.8,100,15.8,80,0.3,1,10,"Snow, Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-07T11:00:00,1.2,-4.7,0,91.74,0,0,,0,0,33.5,27.3,71,1004.8,100,13.9,35,0.1,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-07T12:00:00,1.3,-3.6,-0.1,90.43,0,0,,0,0,22.3,20.3,31,1003.6,100,13.7,28,0.1,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-07T13:00:00,1.2,-0.5,0.1,92.93,0.192,100,"rain,snow",0,0,22.3,5.6,29,1003,100,4,53,0.2,1,10,"Snow, Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-07T14:00:00,1.6,-3,0,89.18,0.318,100,"rain,snow",0,0,33.5,18.4,29,1001,100,12.8,63,0.2,1,10,"Snow, Rain, Overcast",rain,"71624099999,71432099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-07T15:00:00,1.8,-2.3,0.2,89.15,0.196,100,"rain,snow",0,0,35.3,15.3,360,999.3,100,4.9,49,0.2,0,10,"Snow, Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-07T16:00:00,1.2,-1.1,-0.1,90.63,0.175,100,"rain,snow",0,0,35.3,7.4,311,1001.2,99.4,7.8,21,0.1,0,10,"Snow, Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-07T17:00:00,0.9,-4.8,-0.1,93.08,0.996,100,"rain,snow",0,0,46.1,25.7,300,1002.8,100,5.9,26,0.1,0,10,"Snow, Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-07T18:00:00,1.1,-5,-1,85.67,0.191,100,"rain,snow",0,0,38.9,30,299,1005.5,100,14.2,10,0,0,10,"Snow, Rain, Overcast",rain,"71624099999,71432099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-07T19:00:00,1,-1.8,-2.3,78.36,0.395,100,"rain,snow",0,1,50,9.1,299,1007,87.5,16.2,0,0,0,10,"Snow, Rain, Partially cloudy",rain,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-07T20:00:00,1,-4.7,-2.7,76.23,0,0,,0,0,59.2,26.2,280,1009.4,100,14.3,0,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-07T21:00:00,0.7,-5.5,-4,70.73,0,0,,0,0,57.2,29.7,290,1011.2,100,14.3,0,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-07T22:00:00,0.5,-2.6,-4.1,70.93,0,0,,0,0,43.9,9.7,290,1012.9,97.8,16.2,0,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-07T23:00:00,-0.2,-7.1,-5.4,68.27,0,0,,0,0,51.8,33.4,290,1013.9,30,14.3,0,0,0,10,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-08T00:00:00,-0.3,-6.8,-5.2,69.23,0,0,,0,0,55.4,29.6,290,1014.8,7,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-08T01:00:00,-0.5,-3.7,-5.1,71.27,0,0,,0,0,38.5,9.1,290,1015.7,100,16.2,0,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-08T02:00:00,-0.8,-7.7,-6,68.18,0,0,,0,0,54.5,31.6,290,1016.6,68,13.8,0,0,0,10,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-08T03:00:00,-1.1,-7.3,-5.5,72.3,0,0,,0,0,53.6,24.5,290,1017.4,27,13.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-08T04:00:00,-1.3,-4.3,-6.9,66.11,0,0,,0,0,32.4,7.9,299,1018.4,100,16,0,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-08T05:00:00,-1.3,-6.6,-5.5,72.89,0,0,,0,0,50,18.7,270,1019.2,10,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-08T06:00:00,-1.3,-7.6,-5.8,71.22,0,0,,0,0,46.1,25.9,290,1020.2,68,13.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-08T07:00:00,-2,-4.4,-5.6,76.49,0.002,100,"rain,snow",0,1,26.3,6.3,290,1021.3,40,16.2,8,0,0,10,"Snow, Rain, Partially cloudy",snow,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-08T08:00:00,-1.1,-7.4,-5.8,70.33,0,0,,0,0,42.5,25.7,280,1022.2,10,14.3,55,0.2,1,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-08T09:00:00,-0.9,-6.6,-6.1,67.62,0,0,,0,0,37.1,22.2,280,1022.9,50,14.3,144,0.5,1,10,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2022-03-08T10:00:00,-0.1,-2.9,-6.5,61.89,0,0,,0,0,20.5,8.4,299,1023.5,48.8,16.2,332,1.2,3,10,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
