name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Toronto, ON, Canada",2020-01-19T00:00:00,1.8,-5.3,-2.3,74.65,0,0,"rain,snow",0.42,10.61,53.6,43.7,259,1000.7,52.2,14.3,0,0,0,,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-01-19T01:00:00,1.3,-2.3,-2.8,74.17,0.06,100,"rain,snow",0.42,11.03,59.4,12.9,260,1000.9,90.3,16.2,0,0,0,,"Snow, Rain, Overcast",snow,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-01-19T02:00:00,1.1,-5.6,-2.8,75.12,0,0,"rain,snow",0.42,11.45,55.4,36.6,250,1001.6,54.7,14.3,0,0,0,,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-01-19T03:00:00,0.9,-6.1,-2.9,75.72,0,0,"rain,snow",0.42,11.87,55.4,38.3,250,1002.4,70.7,14.3,0,0,0,,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-01-19T04:00:00,1,-2.4,-2.8,76.09,0,0,"rain,snow",0.42,12.29,55.4,11.2,260,1003.3,99.4,15.8,0,0,0,,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-01-19T05:00:00,0,-6,-1.6,88.55,0.24,100,"rain,snow",0.42,12.71,56.3,26,309,1004.3,46.8,6.1,0,0,0,,"Snow, Rain, Partially cloudy",snow,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-01-19T06:00:00,-0.1,-5.7,-3.3,79.3,0,0,"rain,snow",0.42,13.13,56.3,22.4,280,1005.8,54.9,13.7,0,0,0,,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-01-19T07:00:00,-0.9,-2.9,-2.9,85.85,0.006,100,"rain,snow",0.42,13.55,59.4,5.7,280,1007,100,8,2.1,0,0,,"Snow, Rain, Overcast",snow,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-01-19T08:00:00,-1,-7.5,-5.1,73.6,0,0,"rain,snow",0.42,13.97,63.9,27.9,290,1008.1,64,14.3,3,0,0,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,F1541,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2020-01-19T09:00:00,-2.5,-8.5,-6.8,72.47,0,0,,0,13.79,61.2,20.9,309,1009.5,76.2,14.3,25,0.1,0,,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
