name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Toronto, ON, Canada",2023-04-12T00:00:00,18,18,5.2,42.95,0,0,,0,0,25.9,21.9,299,1014,74,14.3,0,0,0,10,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-12T01:00:00,17.5,17.5,5.2,44.31,0,0,,0,0,22.3,12.9,280,1013.8,92,14.3,0,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-12T02:00:00,16.8,16.8,5.5,47.33,0,0,,0,0,20.5,25.5,308,1013.9,99.4,16.2,0,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-12T03:00:00,15.9,15.9,5,48.31,0,0,,0,0,18.4,18.3,319,1013.4,80,14.3,0,0,0,10,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-12T04:00:00,15.3,15.3,5,50.18,0,0,,0,0,17.3,16.2,290,1012.9,36,14.3,0,0,0,10,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-12T05:00:00,13.8,13.8,5,55.52,0,0,,0,0,43.2,9.3,222,1013,100,16.2,0,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-12T06:00:00,12.9,12.9,4.9,58.4,0,0,,0,0,17.3,12.7,200,1012.9,34,14.3,0,0,0,10,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-12T07:00:00,12.4,12.4,5,60.89,0,0,,0,0,18.7,4,277,1013,40,14.3,9,0,0,10,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-12T08:00:00,13.1,13.1,5.6,60.4,0,0,,0,0,40.3,7.7,278,1013,50.9,16.2,49,0.2,0,10,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-12T09:00:00,13.4,13.4,5,57,0,0,,0,0,20.5,5.7,259,1012.9,30,14.3,139,0.5,1,10,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-12T10:00:00,16.2,16.2,6,50.82,0,0,,0,0,24.1,7.8,184,1012.1,0.9,14.3,417,1.5,4,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-12T11:00:00,18,18,6.3,46.21,0,0,,0,0,20.5,5.8,212,1011.7,10,16.2,585,2.1,6,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-12T12:00:00,19.6,19.6,7.1,44.51,0,0,,0,0,24.1,8.1,237,1011.4,0,14.3,678,2.4,7,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-12T13:00:00,22,22,8,40.55,0,0,,0,0,27.7,9.4,230,1010.7,0,14.3,734,2.6,7,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-12T14:00:00,24.7,24.7,9.4,37.79,0,0,,0,0,35.3,11.8,222,1009.6,30,16.2,648,2.3,6,10,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-12T15:00:00,26.2,26.2,9,33.78,0,0,,0,0,29.5,29.6,279,1008.9,30,14.3,673,2.4,7,10,Partially cloudy,partly-cloudy-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-12T16:00:00,26.1,26.1,8.4,32.62,0,0,,0,0,33.5,33.6,278,1008.4,0.9,14.3,279,1,3,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-12T17:00:00,26.5,26.5,8,31,0,0,,0,0,38.9,36.9,288,1008,4,16.2,92,0.3,1,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-12T18:00:00,24.6,24.6,7,32.25,0,0,,0,0,36.2,22.8,279,1007.7,0.9,14.3,45,0.2,0,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-12T19:00:00,19.5,19.5,7,44.29,0,0,,0,0,33.5,31.6,211,1007.8,0,14.3,23,0.1,0,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-12T20:00:00,18.4,18.4,7,47.47,0,0,,0,0,33.5,22.3,239,1008.1,5,16.2,11,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-12T21:00:00,18.2,18.2,7.3,48.98,0,0,,0,0,35.3,13.1,267,1008.5,0,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-12T22:00:00,16.9,16.9,7,52.03,0,0,,0,0,31.3,12.9,258,1008.9,0,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-12T23:00:00,16.6,16.6,7.2,54,0,0,,0,0,25.9,16.4,268,1008.8,4,16.2,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-13T00:00:00,16.1,16.1,7.3,55.79,0,0,,0,0,22.3,18.2,259,1008.7,0,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-13T01:00:00,16.2,16.2,7.5,56.3,0,0,,0,0,22.3,20.2,268,1008.8,0,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-13T02:00:00,16.3,16.3,7.9,57.51,0,0,,0,0,22.3,16.5,250,1009,3,16.2,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-13T03:00:00,15.2,15.2,7.7,60.89,0,0,,0,0,24.1,14.6,250,1009,0,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-13T04:00:00,14.5,14.5,7.7,63.59,0,0,,0,0,24.1,11.3,278,1008.9,0,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-13T05:00:00,14.4,14.4,7.2,62.07,0,0,,0,0,24.1,7.9,278,1009,3,16.2,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-13T06:00:00,14,14,7.2,63.82,0,0,,0,0,25.9,9.6,269,1009.3,0,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-13T07:00:00,13.7,13.7,7.4,65.75,0,0,,0,0,27.4,7.7,259,1009.8,0,14.3,11,0,0,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-13T08:00:00,15.1,15.1,7.5,60.38,0,0,,0,0,27.4,9.8,279,1010.2,5,16.2,28,0.1,0,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-13T09:00:00,17.8,17.8,6.9,48.89,0,0,,0,0,28.8,9.9,279,1010.4,0,14.3,118,0.4,1,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-13T10:00:00,19.5,19.5,7.1,44.56,0,0,,0,0,30.2,11.8,231,1010.3,0,14.3,427,1.5,4,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-13T11:00:00,22,22,7.4,38.79,0,0,,0,0,31.3,13.1,212,1010.2,0,16.2,560,2,6,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-13T12:00:00,23.1,23.1,7.6,37.14,0,0,,0,0,28.1,8.1,241,1010.1,0,14.3,677,2.4,7,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-13T13:00:00,21.4,21.4,7.6,41.03,0,0,,0,0,26.6,8,259,1010.1,0,14.3,725,2.6,7,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-13T14:00:00,22.6,22.6,8,39.31,0,0,,0,0,28.1,13.1,220,1009.9,2.6,16.2,576,2.1,6,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-13T15:00:00,24.1,24.1,8.3,36.56,0,0,,0,0,32.6,15.2,191,1009.1,0,14.3,643,2.3,6,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-13T16:00:00,23.6,23.6,8.2,37.41,0,0,,0,0,35.3,11.9,230,1008.5,0.9,14.3,329,1.2,3,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-13T17:00:00,25,25,9.1,36.32,0,0,,0,0,30.2,8.3,240,1007.9,3,16.2,90,0.3,1,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-13T18:00:00,22.6,22.6,7.3,37.44,0,0,,0,0,34.4,8.3,211,1008,0.9,14.3,44,0.2,0,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-13T19:00:00,21.6,21.6,7.7,40.65,0,0,,0,0,30.2,11.6,259,1008,0.9,14.3,22,0.1,0,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-13T20:00:00,21,21,7.1,40.71,0,0,,0,0,30.2,16.8,268,1008.7,10,16.2,11,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-13T21:00:00,20.2,20.2,7.3,43.33,0,0,,0,0,28.8,18.3,239,1009.5,0.9,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-13T22:00:00,19.7,19.7,7.3,44.48,0,0,,0,0,25.9,9.5,269,1010.2,0,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-13T23:00:00,18.5,18.5,7,47.11,0,0,,0,0,20.2,9.6,240,1010.5,41,16.2,0,0,0,10,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-14T00:00:00,18.1,18.1,7.3,49.19,0,0,,0,0,20.2,3.9,259,1010.7,0.9,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-14T01:00:00,17.1,17.1,7,51.6,0,0,,0,0,17.3,7.6,279,1010.9,0,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-14T02:00:00,16.7,16.7,6.8,52.01,0,0,,0,0,17.3,7.6,259,1010.8,51,16.2,0,0,0,10,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-14T03:00:00,16,16,6.5,53.36,0,0,,0,0,15.8,7.6,260,1010.5,0,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-14T04:00:00,15.2,15.2,6.7,57.01,0,0,,0,0,17.3,3.8,258,1010.6,0.9,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-14T05:00:00,14.1,14.1,6.4,59.78,0,0,,0,0,15.8,7.6,260,1010.7,51,16.2,0,0,0,10,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-14T06:00:00,13.8,13.8,6.3,60.75,0,0,,0,0,15.8,9.3,232,1011,0.9,14.3,0,0,0,10,Clear,clear-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-14T07:00:00,13.5,13.5,6.6,62.75,0,0,,0,0,15.8,7.5,279,1011.2,0.9,14.3,12,0,0,10,Clear,clear-day,"71624099999,71432099999,71508099999,F3871,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-14T08:00:00,15,15,7.4,60.72,0,0,,0,0,14.4,9.3,281,1011.8,10,16.2,23,0.1,0,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-14T09:00:00,17.8,17.8,6.7,48.24,0,0,,0,0,13,5.4,241,1012.1,0.9,14.3,194,0.7,2,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-14T10:00:00,20.5,20.5,6.2,39.37,0,0,,0,0,13,9.2,253,1011.8,0.9,14.3,478,1.7,5,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-14T11:00:00,20.4,20.4,6.4,40.1,0,0,,0,0,14.4,5.4,252,1011.9,4,16.2,611,2.2,6,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2023-04-14T12:00:00,21.4,21.4,6.7,38.71,0,0,,0,0,15.8,5.6,210,1011.9,0.9,14.3,702,2.5,7,10,Clear,clear-day,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
